"FRAUD_MSG_LIST","Fraud Messages"
"CREDIT_KEY_UNAVAILABLE","Credit Key checkout is currently unavailable."
"CREDIT_KEY_AUTH_FAILED","Unable to authorize the transaction. Please try again."
